City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Port+Shepstone,ZA,76.41,clear sky,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
499,Otacilio+Costa,BR,72.54,overcast clouds,-27.4831,-50.1219,Hotel Daieli
501,Salinopolis,BR,81.09,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
503,Uravakonda,IN,74.21,broken clouds,14.95,77.2667,Divya Lodge
505,Culebra,PR,82.4,broken clouds,18.303,-65.301,Palmetto Guesthouse
516,Upington,ZA,89.6,few clouds,-28.4478,21.2561,River Place Manor
517,Omboue,GA,79.77,moderate rain,-1.5746,9.2618,Hotel Olako
528,Dolores,AR,70.52,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
529,Ararangua,BR,85.86,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
531,Vallenar,CL,89.08,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
532,Minab,IR,71.6,scattered clouds,27.1467,57.0801,Bam campground
538,Mannargudi,IN,72.66,clear sky,10.6667,79.4333,MANNAI GRAND INN
541,Dunkwa,GH,89.55,broken clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
547,Contamana,PE,75.43,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
551,Maputo,MZ,86,scattered clouds,-25.9653,32.5892,Pestana Rovuma
558,Gambela,ET,84.85,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
559,Sao+Borja,BR,88.83,broken clouds,-28.6606,-56.0044,Hotel Executivo
562,Bandundu,CD,77.38,overcast clouds,-3.3167,17.3667,Coja Color
568,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
569,El+Carmen,CO,85.8,broken clouds,8.5106,-73.4478,La Casona
571,Aden,YE,75.45,clear sky,12.7794,45.0367,Sama Emirate Hotel
574,Rameswaram,IN,79.5,clear sky,9.2833,79.3,Daiwik Hotels Rameswaram
587,Puerto+Baquerizo+Moreno,EC,84.2,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
589,Aracatuba,BR,88.38,few clouds,-21.2089,-50.4328,Hotel Nacional Inn Araçatuba
590,Altamira,BR,87.8,broken clouds,-3.2033,-52.2064,Requinte Hotel
591,Olavarria,AR,74.05,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
593,Mocuba,MZ,76.39,light rain,-16.8392,36.9856,Phama Lodge
596,San-Pedro,CI,81.09,light rain,4.7485,-6.6363,Hotel Maria
597,Oriximina,BR,88.32,light rain,-1.7656,-55.8661,Pousada Tia Amélia
599,Bosaso,SO,73.67,clear sky,11.2842,49.1816,Red Sea Hotel
600,Parana,AR,75,light rain,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
617,Grand-Lahou,CI,83.03,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
618,Nortelandia,BR,86.16,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
619,Rioja,AR,78.76,overcast clouds,-29.4111,-66.8507,Hotel Libertador
622,Makokou,GA,75.97,moderate rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
624,Bonthe,SL,84.88,few clouds,7.5264,-12.505,Bonthe Holiday Village
628,Pedana,IN,77,mist,16.2667,81.1667,Markaz Darulbir Hostel.
